,resume_word_count,job_word_count,resume_char_count,job_char_count,resume_sentence_count,job_sentence_count,resume_avg_sentence_length,job_avg_sentence_length,resume_avg_word_length,job_avg_word_length,resume_lexical_diversity,job_lexical_diversity,resume_numeric_ratio,job_numeric_ratio,resume_flesch_reading_ease,job_flesch_reading_ease,resume_sentiment_score,job_sentiment_score,resume_positive_ratio,resume_negative_ratio,job_positive_ratio,job_negative_ratio,sentiment_difference,sentiment_gap,shared_token_count,overlap_resume_ratio,overlap_job_ratio,word_count_ratio,char_count_ratio,sentence_count_ratio,word_count_difference,char_count_difference,lexical_diversity_difference,readability_difference,jaccard_similarity,cosine_similarity,score
resume_word_count,1.0,-0.006161790309418758,0.9973084062897467,-0.007031403832721354,0.7866191806202744,-0.008800369073607312,0.16509750794093866,0.010436028858120224,-0.3102785966452124,0.0029674080920355293,-0.7837445170384756,-0.0008492880719508857,0.049919898894409384,-0.013281360104239229,0.14090015798834274,-0.013422548635226168,0.3256976410225833,0.009884965135208784,-0.09324996233684844,0.0006742972870511191,0.009800891096198406,0.002107126626407057,0.23392340247507792,0.1152948522733354,0.31648562982825007,-0.4905748887960324,0.33585590362293444,0.9699635772746109,0.956781572598485,0.6299687812855139,0.9986491786368323,0.9947157983964444,-0.7396060283918054,0.1199157266818775,-0.46508709516287866,-0.39584526426332445,-0.09201469941827621
job_word_count,-0.006161790309418758,1.0,-0.0066581226622662235,0.9837839421515449,-0.005085912838667242,0.8172270644934125,-0.0002472345924917571,-0.6407203723777435,-0.011461508669677593,0.09738821449702798,0.006722958858120865,-0.7123769047876115,0.005505750651736887,0.3215530497641186,0.012028928989562652,0.3010637466758566,-0.003884320147114311,-0.309417490463503,-0.0033302062173772426,0.0018357490042216792,-0.7150222724495998,-0.6554396896311339,0.20792818952460093,0.16542590859224493,0.3224373765165677,0.24947176832214168,-0.21840598589276441,-0.13880091319799404,-0.1666551546936542,-0.36584344674802216,-0.05811225340491057,-0.07687958473570877,0.24490672247650627,-0.1698647507889314,0.12392004318631936,0.10068340900138291,-0.09577812694686495
resume_char_count,0.9973084062897467,-0.0066581226622662235,1.0,-0.007715981773894877,0.7847777071754501,-0.008963152545984747,0.15488105165947147,0.010820894803601972,-0.2679156000871118,0.0018082949317292946,-0.8011861981953217,-0.001201474227138525,0.0640171541523887,-0.013014066106864048,0.10648779147406066,-0.012600327949813089,0.3413451876924159,0.010770469576475055,-0.07596781068204134,0.02145480646681189,0.01059435317233381,0.002361513292769966,0.24488209294827318,0.1128997341155201,0.3355607039096497,-0.5010505802929327,0.35685502778361633,0.9676189117113878,0.959656268074432,0.6292311579702573,0.9959878723659105,0.9974479189159631,-0.7559538282565688,0.09209209105081863,-0.45794860572239915,-0.3958359847041693,-0.0959775221653696
job_char_count,-0.007031403832721354,0.9837839421515449,-0.007715981773894877,1.0,-0.005652358425588632,0.8394678443773987,0.0012602823177024279,-0.6965775289365735,-0.0170113708150418,0.24211353157270435,0.00947612296967328,-0.644518950014205,0.0007155379965579387,0.3782851008751522,0.016191210340863276,0.22319323764040258,-0.006408093242447678,-0.3346445018013197,-0.006251169485615401,0.00012349024843419203,-0.7513060524660763,-0.6976096552491312,0.2232499000371073,0.17436217022046993,0.3575417590671975,0.28229295566955115,-0.20607510532219633,-0.14058203347067,-0.17257239531524704,-0.3839544763884133,-0.05813781513008303,-0.07909198699457375,0.22478164205333084,-0.12015164351966268,0.15645110600083803,0.14754375428646188,-0.12624730311427254
resume_sentence_count,0.7866191806202744,-0.005085912838667242,0.7847777071754501,-0.005652358425588632,1.0,-0.005464349894765711,-0.36083188981758896,0.005397947983482107,-0.12070082787247173,0.00016657740701158077,-0.6783279647466867,-0.0007225512517302049,-0.22982765173075326,-0.0038149484755180176,0.38080485330768304,-0.00817779980688811,0.5830685189987234,0.0074799700126700775,0.2639426379307835,-0.17647269262473822,0.00941269994894031,0.006640041830358226,0.42573304242645743,0.16977066123599585,0.22148573679704173,-0.5960881829659209,0.2550649492147916,0.7626739974750198,0.752586487402002,0.7947762396396189,0.7855690136311404,0.7827461186497554,-0.6401304544384682,0.3073456418889681,-0.4838756703349506,-0.3326502572283216,0.2033871923177912
job_sentence_count,-0.008800369073607312,0.8172270644934125,-0.008963152545984747,0.8394678443773987,-0.005464349894765711,1.0,-0.0066412620652744414,-0.9143861888419372,-0.0006512237002988064,0.09215539906859795,0.005124232720377718,-0.5850269952911006,0.009817379908512456,0.5224296524695962,0.006960901755242342,0.48787858837357223,0.0021864179216005046,-0.28554404524551397,0.004621313839899914,-0.0001210965617106723,-0.6862307301676932,-0.6384359691065338,0.19614947953509293,0.1302356036452547,0.3413284161149339,0.26376787402840723,-0.15470919085843296,-0.12591524521595912,-0.15449865039381336,-0.4228074864082154,-0.051249402596294714,-0.06887330024165397,0.20075066376588538,-0.28522279103988574,0.16685249667727653,0.15650565614913667,-0.12826159211488608
resume_avg_sentence_length,0.16509750794093866,-0.0002472345924917571,0.15488105165947147,0.0012602823177024279,-0.36083188981758896,-0.0066412620652744414,1.0,0.007580960896541511,-0.4260839094673134,0.01692508956041768,0.11331535343425203,0.005031877726355536,0.2591757005955299,-0.015322061308499599,-0.375513046973439,-0.019052186044501585,-0.5767772506691257,0.00032332902682389653,-0.6824366591999907,0.07466687164758651,-0.0025781030409887788,-0.008035310009441483,-0.4264006185632228,-0.07534020685575817,-0.07702153323134027,0.3207538447738544,-0.1167450417861819,0.1610005545584753,0.14948082966939485,-0.2770463213858397,0.16483447771302037,0.15431047138849074,0.10528977330509783,-0.28691463532269096,0.014484742712730987,-0.028695320171178488,-0.3809452456438922
job_avg_sentence_length,0.010436028858120224,-0.6407203723777435,0.010820894803601972,-0.6965775289365735,0.005397947983482107,-0.9143861888419372,0.007580960896541511,1.0,0.0029500752022525744,-0.16988657325372303,-0.006659283163509409,0.4091227818356845,3.279363020543658e-05,-0.5711603051103831,-0.00991032376680419,-0.49220180406527086,-0.0027644645795770182,0.20631722601989072,-0.004765233792703537,0.002373510643501107,0.5592873649201497,0.5416782125096893,-0.14260136951922958,-0.07288849595640232,-0.35397482191006346,-0.2784016876351222,0.07031110694676804,0.10606323204382467,0.13407157705336445,0.42576018230517443,0.043710907443452324,0.060522916840153346,-0.14329322408206488,0.285456500030563,-0.21364887112241485,-0.22438118554662842,0.15461452928685543
resume_avg_word_length,-0.3102785966452124,-0.011461508669677593,-0.2679156000871118,-0.0170113708150418,-0.12070082787247173,-0.0006512237002988064,-0.4260839094673134,0.0029500752022525744,1.0,-0.03930999369704736,-0.07738033776078876,-0.009679456337899465,0.12682392013950947,0.00830610650312868,-0.6517320658637625,0.03108253893786298,0.3555492529785188,0.02034774615597952,0.5716609949703273,0.316872348486029,0.021922862436115534,0.015130739522687259,0.24885271140140586,-0.06949362802051215,0.21224631878544267,-0.11897895577698801,0.25715856161597067,-0.2995276748333431,-0.2545378066250017,-0.09318634825006798,-0.3091645746911568,-0.26586964651257555,-0.06980910995871929,-0.5361923630867961,0.2638703654693148,0.13055181888944548,0.09878637409160974
job_avg_word_length,0.0029674080920355293,0.09738821449702798,0.0018082949317292946,0.24211353157270435,0.00016657740701158077,0.09215539906859795,0.01692508956041768,-0.16988657325372303,-0.03930999369704736,1.0,0.013303850464376758,0.2270144533317766,-0.026728228168430977,0.19876231081070356,0.024704978299494307,-0.701635272592064,-0.019687124165138927,-0.06124519698517186,-0.025327272429206748,-0.010655162768258872,-0.2272305494158018,-0.4483040479326162,0.02717800034867194,0.02886175691909164,0.10068289584676561,0.10148402818322262,-0.0832898484976553,-0.018652478044985238,-0.04374479801199075,-0.07810108627576938,-0.0020979160071881594,-0.015484209757101922,-0.06346289498633342,0.4377634428336118,0.04465077961643969,0.10471840047009603,-0.1265589356990679
