feature,importance
resume_avg_sentence_length,0.3904555763023096
overlap_job_ratio,0.06110817429876867
job_lexical_diversity,0.05818187330649808
cosine_similarity,0.053851574165978904
job_char_count,0.0370142915160224
overlap_resume_ratio,0.026761937014081767
resume_avg_word_length,0.022617510883122933
resume_char_count,0.022234464969794625
lexical_diversity_difference,0.02114319969295115
resume_flesch_reading_ease,0.021075575996220067
job_avg_word_length,0.020471575495758232
readability_difference,0.020021232291284285
resume_lexical_diversity,0.019460930281530276
job_flesch_reading_ease,0.018606846878757227
resume_positive_ratio,0.017638188712621256
resume_numeric_ratio,0.01512854942004473
char_count_ratio,0.015080664539321182
resume_negative_ratio,0.013700126343675158
jaccard_similarity,0.013476199795171735
word_count_ratio,0.012622342987809952
job_negative_ratio,0.012242791393082614
job_positive_ratio,0.012001635109480813
char_count_difference,0.01152738395701811
job_avg_sentence_length,0.010962302265889992
sentiment_gap,0.00971055868119099
resume_sentence_count,0.008758133282360081
resume_sentiment_score,0.008717099421235164
sentiment_difference,0.008515497509027541
resume_word_count,0.007872307907646356
word_count_difference,0.00652812292767319
job_numeric_ratio,0.0057937090696686434
sentence_count_ratio,0.005221875097126265
shared_token_count,0.0038494145630540363
job_word_count,0.0036279973283547236
job_sentiment_score,0.003421711773178395
job_sentence_count,0.0005986248222908895
